REGION,RED,WHITE,TOTAL,PERCENT,YEAR
1,28100.8,26978.5,55079.3,1.614809031,2020
10,15547,2287.8,17834.8,0.52287876,2020
11,465327.3,223028.4,688355.7,20.18113884,2020
12,135170.3,152640.2,287810.5,8.437997479,2020
13,563430.9,634149.7,1197580.6,35.11054004,2020
14,95950.3,123042.3,218992.6,6.420401642,2020
15,344.9,35.6,380.5,0.011155458,2020
16,3120.1,1105.4,4225.5,0.123882757,2020
17,49368.1,121043.6,170411.7,4.996112008,2020
2,22054.2,17465.9,39520.1,1.158646068,2020
3,82910.2,65174.9,148085.1,4.341543135,2020
4,71221.1,28086.8,99307.9,2.911498399,2020
5,11588.5,10799.3,22387.8,0.656363128,2020
6,17383.6,6734.8,24118.4,0.707100674,2020
7,83461.9,104925.6,188387.5,5.523124591,2020
8,146015.8,45436.8,191452.6,5.612986865,2020
9,29256.9,27698.8,56955.7,1.669821125,2020
1,48194.7,33693.1,81887.8,1.912513772,2018
10,21599.9,2373.9,23973.8,0.559915185,2018
11,595747.3,254939.5,850686.8,19.86804165,2018
12,172637.9,182284.2,354922.1,8.289310547,2018
13,663425.3,632456.6,1295881.9,30.26570479,2018
14,151272.1,151915.4,303187.5,7.081033674,2018
15,257.6,58.8,316.4,0.007389616,2018
16,3541.1,1033.1,4574.2,0.106831793,2018
17,56267.7,131357.4,187625.1,4.382039666,2018
2,28546.8,17879,46425.8,1.084288281,2018
3,163575.2,112401.7,275976.9,6.445522068,2018
4,137335.2,47237.8,184573,4.310756968,2018
5,11459.8,12510.1,23969.9,0.559824099,2018
6,23510.7,10755,34265.7,0.800285551,2018
7,149791.6,148883,298674.6,6.97563356,2018
8,186223.8,59288.6,245512.4,5.734014666,2018
9,34542.8,34687.5,69230.3,1.616894118,2018
1,40778.8,37171.9,77950.7,1.933710326,2016
10,18917.8,2548.7,21466.5,0.532515971,2016
11,550624.1,251497.7,802121.8,19.89810492,2016
12,190164,182783,372947,9.251635521,2016
13,658722.2,606925.5,1265647.7,31.39671647,2016
14,136502,146832.8,283334.8,7.028640263,2016
15,363.7,61.5,425.2,0.010547867,2016
16,3495.1,1343.8,4838.9,0.120037805,2016
17,48155.7,120436,168591.7,4.182226859,2016
2,26368,20160.1,46528.1,1.154215003,2016
3,130589.3,95852.3,226441.6,5.617299911,2016
4,110441.6,42603.6,153045.2,3.796567364,2016
5,9857.3,11424,21281.3,0.527921745,2016
6,20975.5,9589,30564.5,0.758208576,2016
7,136332.6,132355,268687.6,6.665289556,2016
8,164613.8,59970.4,224584.2,5.571223692,2016
9,31691.6,30998.3,62689.9,1.555138145,2016
1,34760.7,27199.3,61960,1.591657904,2014
10,16847.9,3336.4,20184.3,0.518503884,2014
11,449619.9,224556.7,674176.6,17.31856866,2014
12,161981.3,175044.5,337025.8,8.6576788,2014
13,648572.2,580909.6,1229481.8,31.58351235,2014
14,145511.6,170279.1,315790.7,8.112181467,2014
15,293.7,47.8,341.5,0.008772614,2014
16,3458.8,1387.4,4846.2,0.124491487,2014
17,37312.1,103404.8,140716.9,3.614802552,2014
2,22206,16467.2,38673.2,0.993455527,2014
3,144021.5,111613.9,255635.4,6.566883554,2014
4,123494.5,52112.8,175607.3,4.511083716,2014
5,10215.5,13057.5,23273,0.597847876,2014
6,17944.7,10230.4,28175.1,0.723775349,2014
7,147441,171049.8,318490.8,8.181542918,2014
8,146750.1,66337.1,213087.2,5.473885186,2014
9,27862.2,27468.3,55330.5,1.42135616,2014
