,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,57383.00000000001,71094.9,77920.7,61960.0,57488.00000000002,77950.70000000004,70752.1,81887.80000000002,67738.09999999999,55079.299999999996
10,17330.899999999998,23373.5,23020.7,20184.300000000003,17090.9,21466.499999999996,22118.2,23973.8,20329.7,17834.799999999996
11,573758.2999999999,767399.6000000001,801826.8999999999,674176.5999999997,670575.0000000003,802121.8,743360.2000000001,850686.8000000003,774719.6,688355.7000000001
12,290965.4000000001,339443.7,359717.0999999999,337025.7999999999,366630.2,372947.0000000001,354230.60000000003,354922.1000000001,311252.3,287810.5
13,1149983.6,1215393.4,1312710.7000000002,1229481.799999999,1374477.7,1265647.6999999997,1311813.0,1295881.8999999994,1269738.5999999996,1197580.5999999996
14,362861.29999999993,329455.80000000005,353785.2000000001,315790.70000000007,292749.5999999999,283334.80000000005,312371.0999999999,303187.49999999994,273993.5,218992.6
15,999.9,969.5,520.5,341.50000000000006,368.90000000000003,425.19999999999993,967.1999999999999,316.4,711.4000000000001,380.5000000000001
16,3391.2999999999993,4953.5,5006.399999999998,4846.2,4088.4,4838.9,6849.1,4574.199999999999,7413.2,4225.500000000001
17,108805.40000000002,148690.1,143739.30000000002,140716.90000000002,134444.4,168591.7,158371.49999999994,187625.09999999998,179804.8,170411.7
2,34003.600000000006,34816.4,43619.09999999999,38673.20000000001,38786.799999999996,46528.1,47856.600000000006,46425.80000000001,47245.70000000001,39520.100000000006
3,166618.80000000005,267061.60000000003,270609.10000000003,255635.40000000014,182069.40000000005,226441.60000000003,206097.2,275976.89999999997,229791.79999999993,148085.09999999998
4,121872.09999999996,182858.59999999998,174846.49999999994,175607.30000000002,124125.50000000003,153045.2,142413.10000000003,184573.00000000006,159721.30000000005,99307.89999999998
5,15294.299999999997,23827.899999999998,21183.100000000002,23273.0,17929.100000000002,21281.300000000003,17936.299999999996,23969.9,20445.000000000007,22387.80000000001
6,21948.300000000007,30807.9,37582.4,28175.100000000006,22585.4,30564.5,28448.300000000007,34265.7,27567.10000000001,24118.4
7,209196.4,299179.6000000001,312565.0,318490.80000000005,198284.30000000005,268687.5999999999,282090.00000000006,298674.5999999999,240481.0999999999,188387.4999999999
8,158171.2,218367.7,243349.79999999996,213087.19999999998,150117.4,224584.2,233228.09999999992,245512.4,212429.69999999998,191452.60000000003
9,54357.499999999985,60195.90000000001,62888.299999999974,55330.49999999998,52759.5,62689.89999999998,74780.9,69230.29999999997,75763.30000000002,56955.700000000004
